DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
36784249,Alvin Kamara,RB/FLEX,NO,LAR,,7700,18.9,23.97,18.9,23.97,3.1129870129870127,21.73,21.90140868181267,0,100,23.6716,49.4632,23.9692,16.7,22.5625,29.8,34.1,42.505,52.1,21.0806,14.175,19.7,26.6,30.7,38.6525,47.7515,20.4281,14,19.35,25.5,29.2075,36.2,44.302,23.9692,16.7,22.5625,29.8,34.1,42.505,52.1,9.9132,9.32547,8.56019,9.9132,0,0,0,0,0,5.77709,52.1017,0.235289,16.7918,68.6163,0.691756
36784245,Joe Mixon,RB/FLEX,HOU,JAX,,8000,24.9,22.35,24.9,22.35,2.79375,19.31,19.954230134958546,0,100,25.0952,46.0922,22.3451,14.8,21.2,28.7,33.1,40.85,50.6,20.8886,13.5,19.6,27.1,31.4,38.9,48.401,19.8589,13.2,18.8,25.3062,29.3,36.3,45.5,22.3451,14.8,21.2,28.7,33.1,40.85,50.6,10.1662,9.90355,9.03152,10.1662,0,0,0,0,0,2.91304,28.2006,0.15388,21.5326,87.8766,0.99292
36784253,Bijan Robinson,RB/FLEX,ATL,LAC,,7300,28.5,21.83,28.5,21.83,2.9904109589041097,25.32,26.314486911168274,0,100,23.7698,48.0796,21.8306,14.7,20.5125,27.7313,32.2,39.7,48.8,19.7337,12.7,18.3,25.4,29.7075,37.2,45.753,18.9466,12.6,17.9,24.1,27.9075,34.65,42.9502,21.8306,14.7,20.5125,27.7313,32.2,39.7,48.8,9.62931,9.2599,8.48757,9.62931,0,0,0,0,0,4.19382,32.537,0.20644,19.1844,79.6045,0.74816
36784177,Lamar Jackson,QB,BAL,PHI,,8000,25.38,21.21,25.38,21.21,2.65125,0.47,0.48777958435944363,0,100,26.6218,50.788399999999996,21.2116,15.275,20.5,26.28,29.66,35.6353,43.5234,21.2116,15.275,20.5,26.28,29.66,35.6353,43.5234,20.7796,15.235,20.27,25.6825,28.7415,34.202,41.1822,21.2116,15.275,20.5,26.28,29.66,35.6353,43.5234,8.15133,8.15133,7.65398,8.15133,29.9487,19.5124,225.808,1.48308,0.55008,0,0,0,6.9336,41.6087,0.38836
36784179,Jayden Daniels,QB,WAS,TEN,,7200,28.64,21.16,28.64,21.16,2.938888888888889,4.62,4.630250620849187,0,100,25.7926,45.400800000000004,21.1639,15.235,20.4,26.1825,29.623,35.9805,44.004,21.1639,15.235,20.4,26.1825,29.623,35.9805,44.004,20.7361,15.12,20.1,25.705,28.72,34.521,41.7802,21.1639,15.235,20.4,26.1825,29.623,35.9805,44.004,8.25188,8.25188,7.77171,8.25188,31.0816,19.6181,227.312,1.37458,0.59164,0,0,0,8.00884,40.6539,0.47002
36784243,Saquon Barkley,RB/FLEX,PHI,BAL,,8500,22.7,20.87,22.7,20.87,2.455294117647059,10.75,10.793707495974223,0,100,24.1666,50.788399999999996,20.8651,13.6,19.6,26.8,31.0575,38.7,47.851,19.4387,12.3,18.1,25.15,29.4,36.9025,45.702,18.4562,12.1,17.4,23.6,27.3,34.2525,42.701,20.8651,13.6,19.6,26.8,31.0575,38.7,47.851,9.63687,9.36007,8.50222,9.63687,0,0,0,0,0,2.85282,27.3572,0.1322,21.3076,86.3851,0.82976
36784178,Jalen Hurts,QB,PHI,BAL,,7700,17.62,20.67,17.62,20.67,2.684415584415585,1.42,1.4094781858732648,0,100,24.1666,50.788399999999996,20.6721,14.6,19.84,25.9,29.5315,36,43.9202,20.6721,14.6,19.84,25.9,29.5315,36,43.9202,20.244,14.52,19.54,25.26,28.6,34.42,41.6704,20.6721,14.6,19.84,25.9,29.5315,36,43.9202,8.44943,8.44943,7.98595,8.44943,30.4117,18.9929,230.065,1.1626,0.66132,0,0,0,6.90026,35.3381,0.6089
36784180,Joe Burrow,QB,CIN,PIT,,7000,25.26,20.61,25.26,20.61,2.9442857142857144,7.14,7.126720894936617,0,100,24.8566,46.7358,20.6118,14.7,19.82,25.66,29.02,34.721,41.4616,20.6118,14.7,19.82,25.66,29.02,34.721,41.4616,19.6122,14.48,19.14,24.085,26.98,32.103,38.7216,20.6118,14.7,19.82,25.66,29.02,34.721,41.4616,7.90445,7.90445,7.08408,7.90445,37.9189,25.8852,275.599,1.92804,0.74604,0,0,0,2.74022,10.6937,0.11362
36784453,Ja'Marr Chase,WR/FLEX,CIN,PIT,,8600,20.6,20.38,20.6,20.38,2.369767441860465,6.8,6.698187277743247,0,100,24.8566,46.7358,20.3781,12.7,18.9,27,31.3,39.1525,47.5,16.8867,9.8,15.7,23.0125,26.5575,33.7525,41.7,15.8892,9.8,14.9,20.7,24.3,31.1,38.802,20.3781,12.7,18.9,27,31.3,39.1525,47.5,10.0485,9.04212,8.04187,10.0485,0,0,0,0,0,6.9828,85.6594,0.61554,0.24396,0.99683,0.01048
36784188,Justin Herbert,QB,LAC,ATL,,5600,5.98,20.27,5.98,20.27,3.619642857142857,18.15,18.05754815396918,0,100,24.3098,48.0796,20.2739,14.46,19.46,25.28,28.68,34.724,41.8221,20.2739,14.46,19.46,25.28,28.68,34.724,41.8221,19.4876,14.22,18.88,24.065,27.06,32.402,39.0301,20.2739,14.46,19.46,25.28,28.68,34.724,41.8221,7.96083,7.96083,7.26878,7.96083,35.221,22.1577,261.14,1.57856,0.72696,0,0,0,4.33984,20.7982,0.24798
