Id,Name,Position,Team,ProjPts,ProjOwn
36870496,Las Vegas Raiders,DST,Raiders,4.94,0.00
36870482,Buffalo Bills,DST,Bills,5.24,0.00
36870483,Miami Dolphins,DST,Dolphins,6.23,0.00
36870489,New York Jets,DST,Jets,7.57,0.00
36870490,Jacksonville Jaguars,DST,Jaguars,6.60,0.00
36870487,Tennessee Titans,DST,Titans,6.41,0.00
36870494,Cleveland Browns,DST,Browns,5.06,0.00
36870480,Pittsburgh Steelers,DST,Steelers,9.57,0.00
36870479,Tampa Bay Buccaneers,DST,Buccaneers,7.77,0.00
36870493,Atlanta Falcons,DST,Falcons,4.44,0.00
36870497,Carolina Panthers,DST,Panthers,2.53,0.00
36870486,New Orleans Saints,DST,Saints,5.54,0.00
36870484,San Francisco 49ers,DST,49ers,8.09,0.00
36870485,Arizona Cardinals,DST,Cardinals,8.63,0.00
36870492,Los Angeles Rams,DST,Rams,3.01,0.00
36870488,Seattle Seahawks,DST,Seahawks,3.48,0.00
36870478,Philadelphia Eagles,DST,Eagles,7.48,0.00
36870491,New York Giants,DST,Giants,5.19,0.00
36870495,Chicago Bears,DST,Bears,4.80,0.00
36870481,Minnesota Vikings,DST,Vikings,6.96,0.00
36869605,Russell Wilson,QB,Steelers,19.16,0.00
36870336,Eric Saubert,TE,49ers,0.00,0.00
36870060,KJ Hamler,WR,Bills,0.00,0.00
36869824,Mike Boone,RB,Panthers,0.00,0.00
36869658,Brett Rypien,QB,Vikings,0.00,0.00
36870056,Jalen Virgil,WR,Bills,0.00,0.00
36869914,Jerry Jeudy,WR,Browns,13.75,0.00
36869978,Mike Williams,WR,Steelers,0.00,0.00
36869920,Keenan Allen,WR,Bears,11.36,0.00
36869798,Joshua Kelley,RB,Titans,0.00,0.00
36870034,DeAndre Carter,WR,Bears,0.00,0.00
36870344,Gerald Everett,TE,Bears,0.00,0.00
36869639,Shane Buechele,QB,Bills,0.00,0.00
36869952,Marquez Valdes-Scantling,WR,Saints,10.77,0.00
36869750,Zamir White,RB,Raiders,3.86,0.00
36869988,Mack Hollins,WR,Bills,2.30,0.00
36870306,Foster Moreau,TE,Saints,6.55,0.00
36869614,Derek Carr,QB,Saints,18.06,0.00
36869732,Ameer Abdullah,RB,Raiders,2.89,0.00
36869892,Davante Adams,WR,Jets,15.10,0.00
36869908,Khalil Shakir,WR,Bills,11.20,0.00
36869598,Josh Allen,QB,Bills,22.40,0.00
36870288,Dawson Knox,TE,Bills,3.48,0.00
36869726,Devin Singletary,RB,Giants,7.05,0.00
36869676,James Cook,RB,Bills,13.64,0.00
36870092,Gabe Davis,WR,Jaguars,0.00,0.00
36870358,Quintin Morris,TE,Bills,0.00,0.00
36869884,Tyreek Hill,WR,Dolphins,13.15,0.00
36869926,Jaylen Waddle,WR,Dolphins,11.70,0.00
36870206,Trent Sherfield Sr.,WR,Vikings,0.00,0.00
36869601,Tua Tagovailoa,QB,Dolphins,17.61,0.00
36870474,Tanner Conner,TE,Dolphins,0.00,0.00
36869663,Skylar Thompson,QB,Dolphins,0.00,0.00
36870262,Erik Ezukanma,WR,Dolphins,0.00,0.00
36870470,Durham Smythe,TE,Dolphins,0.00,0.00
36869980,Cedrick Wilson Jr.,WR,Saints,5.84,0.00
36869724,Raheem Mostert,RB,Dolphins,6.47,0.00
36869852,Myles Gaskin,RB,Vikings,0.00,0.00
36869802,Chase Edmonds,RB,Buccaneers,0.00,0.00
36870354,Hunter Long,TE,Rams,0.00,0.00
36870252,Braxton Berrios,WR,Dolphins,0.00,0.00
36870434,C.J. Uzomah,TE,Eagles,0.00,0.00
36870334,Jeremy Ruckert,TE,Jets,2.15,0.00
36869894,Garrett Wilson,WR,Jets,13.51,0.00
36869790,Michael Carter,RB,Cardinals,0.00,0.00
36869752,Ty Johnson,RB,Bills,4.02,0.00
36869944,Elijah Moore,WR,Browns,7.65,0.00
36869680,Breece Hall,RB,Jets,16.50,0.00
36870312,Tyler Conklin,TE,Jets,5.40,0.00
36869638,Mike White,QB,Bills,0.00,0.00
36869651,Bailey Zappe,QB,Browns,0.00,0.00
36869616,Mac Jones,QB,Jaguars,1.34,0.00
36869918,Jakobi Meyers,WR,Raiders,15.57,0.00
36869758,Pierre Strong Jr.,RB,Browns,0.00,0.00
36870270,Jonnu Smith,TE,Dolphins,12.75,0.00
36870180,Parris Campbell,WR,Eagles,0.00,0.00
36869816,Nyheim Hines,RB,Browns,0.00,0.00
36869644,C.J. Beathard,QB,Jaguars,0.00,0.00
36870328,Chris Manhertz,TE,Giants,0.96,0.00
36870380,Luke Farrell,TE,Jaguars,1.56,0.00
36869704,Travis Etienne Jr.,RB,Jaguars,8.99,0.00
36870076,Zay Jones,WR,Cardinals,0.00,0.00
36869610,Trevor Lawrence,QB,Jaguars,11.17,0.00
36870006,Tim Jones,WR,Jaguars,0.00,0.00
36870148,Jamal Agnew,WR,Steelers,0.00,0.00
36870276,Evan Engram,TE,Jaguars,9.41,0.00
36870090,Christian Kirk,WR,Jaguars,0.00,0.00
36870362,Pharaoh Brown,TE,Seahawks,0.00,0.00
36870048,Tyler Johnson,WR,Rams,2.12,0.00
36870022,Chris Conley,WR,49ers,0.00,0.00
36870222,Phillip Dorsett II,WR,Falcons,0.00,0.00
36869649,Kyle Allen,QB,Steelers,0.00,0.00
