Id,Name,Position,Team,ProjPts,ProjOwn
36875609|CPT,Detroit Lions,DST,Lions,6.86,0.00
36875559|FLEX,Detroit Lions,DST,Lions,4.57,0.00
36875611|CPT,Green Bay Packers,DST,Packers,6.66,0.00
36875561|FLEX,Green Bay Packers,DST,Packers,4.44,0.00
36875590|CPT,Josh Jacobs,RB,Packers,28.26,0.00
36875540|FLEX,Josh Jacobs,RB,Packers,18.84,0.00
36875600|CPT,Malik Willis,QB,Packers,0.00,0.00
36875550|FLEX,Malik Willis,QB,Packers,0.00,0.00
36875631|CPT,Donovan Peoples-Jones,WR,Lions,0.00,0.00
36875581|FLEX,Donovan Peoples-Jones,WR,Lions,0.00,0.00
36875618|CPT,Allen Robinson,WR,Lions,0.00,0.00
36875568|FLEX,Allen Robinson,WR,Lions,0.00,0.00
36875594|CPT,David Montgomery,RB,Lions,22.21,0.00
36875544|FLEX,David Montgomery,RB,Lions,14.81,0.00
36875637|CPT,Shane Zylstra,TE,Lions,0.00,0.00
36875587|FLEX,Shane Zylstra,TE,Lions,0.00,0.00
36875620|CPT,Craig Reynolds,RB,Lions,0.00,0.00
36875570|FLEX,Craig Reynolds,RB,Lions,0.00,0.00
36875589|CPT,Amon-Ra St. Brown,WR,Lions,22.98,0.00
36875539|FLEX,Amon-Ra St. Brown,WR,Lions,15.32,0.00
36875613|CPT,Brock Wright,TE,Lions,2.35,0.00
36875563|FLEX,Brock Wright,TE,Lions,1.57,0.00
36875591|CPT,Jared Goff,QB,Lions,26.12,0.00
36875541|FLEX,Jared Goff,QB,Lions,17.41,0.00
36875625|CPT,Kalif Raymond,WR,Lions,2.22,0.00
36875575|FLEX,Kalif Raymond,WR,Lions,1.48,0.00
36875635|CPT,James Mitchell,TE,Lions,0.00,0.00
36875585|FLEX,James Mitchell,TE,Lions,0.00,0.00
36875597|CPT,Christian Watson,WR,Packers,13.35,0.00
36875547|FLEX,Christian Watson,WR,Packers,8.90,0.00
36875598|CPT,Romeo Doubs,WR,Packers,10.11,0.00
36875548|FLEX,Romeo Doubs,WR,Packers,6.74,0.00
36875621|CPT,AJ Dillon,RB,Packers,0.00,0.00
36875571|FLEX,AJ Dillon,RB,Packers,0.00,0.00
36875592|CPT,Jordan Love,QB,Packers,22.07,0.00
36875542|FLEX,Jordan Love,QB,Packers,14.71,0.00
36875632|CPT,Tyler Davis,TE,Packers,0.00,0.00
36875582|FLEX,Tyler Davis,TE,Packers,0.00,0.00
36875607|CPT,Brandon McManus,K,Packers,13.38,0.00
36875557|FLEX,Brandon McManus,K,Packers,8.92,0.00
36875612|CPT,Tim Patrick,WR,Lions,5.97,0.00
36875562|FLEX,Tim Patrick,WR,Lions,3.98,0.00
36875634|CPT,John FitzPatrick,TE,Packers,0.00,0.00
36875584|FLEX,John FitzPatrick,TE,Packers,0.00,0.00
36875617|CPT,Bo Melton,WR,Packers,1.81,0.00
36875567|FLEX,Bo Melton,WR,Packers,1.21,0.00
36875596|CPT,Jameson Williams,WR,Lions,16.73,0.00
36875546|FLEX,Jameson Williams,WR,Lions,11.15,0.00
36875627|CPT,Tom Kennedy,WR,Lions,0.00,0.00
36875577|FLEX,Tom Kennedy,WR,Lions,0.00,0.00
36875622|CPT,Jermar Jefferson,RB,Lions,0.00,0.00
36875572|FLEX,Jermar Jefferson,RB,Lions,0.00,0.00
36875606|CPT,Michael Badgley,K,Lions,0.00,0.00
36875556|FLEX,Michael Badgley,K,Lions,0.00,0.00
36875599|CPT,Jake Fromm,QB,Lions,0.00,0.00
36875549|FLEX,Jake Fromm,QB,Lions,0.00,0.00
36875629|CPT,Alex McGough,WR,Packers,0.00,0.00
36875579|FLEX,Alex McGough,WR,Packers,0.00,0.00
36875616|CPT,Ben Sims,TE,Packers,0.00,0.00
36875566|FLEX,Ben Sims,TE,Packers,0.00,0.00
36875595|CPT,Jayden Reed,WR,Packers,16.08,0.00
36875545|FLEX,Jayden Reed,WR,Packers,10.72,0.00
36875614|CPT,Chris Brooks,RB,Packers,4.05,0.00
